name,graduate_date,thesis_title,topics,institution,record_url,doi,thesis_pdf,linkedin,orcid,image,summary
Hanna Josefine Wolff,2021-10-06,Fabrication of tailored microgels in continuous processes,microgels,RWTH,https://publications.rwth-aachen.de/record/842918,,,,https://orcid.org/0000-0002-0463-5842,,
Qing Cui,2021-10-01,Wet spinning of core-shell and hollow polyelectrolyte fibers,polyelectrolytes; microfluidics; hollow fiber membranes; membranes,RWTH,https://publications.rwth-aachen.de/record/834117,10.18154/RWTH-2021-09667,https://publications.rwth-aachen.de/record/834117/files/834117.pdf,https://www.linkedin.com/in/qingcui-rwth/,https://orcid.org/0000-0002-1970-5145,,"This thesis aims at utilizing wet spinning technology to achieve fabrication of polymeric fibers with different structures, and making full use of the spun functional fiber materials in tissue engineering and electrochemical reactions. The composite demonstrated the highest conductivity of 484 S/cm and an optimum capacitance of 82.59 F/g."
Morten Logemann,2021-07-05,Gas separation with membranes at elevated temperatures - tubular membrane reactors for the hydroformylation and the water-gas shift reaction,membranes; gas separation,RWTH,https://publications.rwth-aachen.de/record/836136,,,https://www.linkedin.com/in/morten-logemann/,,,
Xin Wei,2021-05-19,Electrochemical nitrogen reduction for ammonia synthesis using gas diffusion electrodes,electrochemistry; nitrogen reduction; gas diffusion electrodes; membranes,RWTH,https://publications.rwth-aachen.de/record/824880,10.18154/RWTH-2021-07908,https://publications.rwth-aachen.de/record/824880/files/824880.pdf,https://www.linkedin.com/in/xin-wei-608ab8a8/,https://orcid.org/0000-0001-9735-606X,,"In this work, catalyst-modified gas diffusion electrodes (GDEs) were applied in an electrochemical membrane reactor to overcome the restriction caused by the low solubility of $\rm N_2$. As a result, a significant improvement was achieved."
Hannah Roth,2021-03-29,Fabrication of functionalized hollow fiber membranes through chemistry in a spinneret,hollow fiber membranes; membranes; filtration; fouling,RWTH,https://publications.rwth-aachen.de/record/841451,10.18154/RWTH-2022-01738,https://publications.rwth-aachen.de/record/841451/files/841451.pdf,https://www.linkedin.com/in/hannah-roth-153b20aa/,https://orcid.org/0000-0003-4382-8310,,The aim of thesis is to explore the scalable chemistry in a spinneret technology base as a single-step manufacturing process for functionalized membranes and thus to offer an intelligent alternative for multi-step membrane modification processes. Filtration experiments with BSA prove excellent antifouling properties of the resulting…
Robert G. Keller,2021-01-01,Fenton’s chemistry in biorefineries,biomass valorization; filtration; membranes; electrochemistry,RWTH,https://publications.rwth-aachen.de/record/822014,10.18154/RWTH-2021-06495,,https://www.linkedin.com/in/robert-keller-12003b147/,,,"This thesis presents integrated biorefinery processes based on green solvents, lignin-first conceptualization, and the coupling of electrochemical processes to cellulose depolymerization. Experimental and simulation results demonstrated that the separation prevents overoxidation of glucose while simultaneously retaining the reactant…"
Lars I. E. Peters,2021-01-01,Membrane-based direct pH parametric pumping for protein concentration,membranes; filtration; fouling; hollow fiber membranes,RWTH,https://publications.rwth-aachen.de/record/811228,10.18154/RWTH-2021-01042,https://publications.rwth-aachen.de/record/811228/files/811228.pdf,,,,"Membrane processes offer shorter diffusional pathways for the adsorption, faster binding kinetics and overall lower pressure drops, but are limited to a flat membrane geometry."
Korcan Percin,2021-01-01,Slurry-based electrodes for vanadium redox flow battery,redox flow batteries; electrochemistry; porous media,RWTH,https://publications.rwth-aachen.de/record/819825,10.18154/RWTH-2021-05314,https://publications.rwth-aachen.de/record/819825/files/819825.pdf,https://www.linkedin.com/in/korcanpercin/,,,"This thesis suggests replacing the standard electrodes used in a vanadium redox flow battery with the slurry electrodes. This thesis demonstrates the application of the static mixers to improve the slurry mixing in the flow cell, and thereby, increase the electrochemical activity significantly."
Elizaveta Evdochenko,2021-01-01,Modeling of ion transport through nanofiltration and ion-exchange membranes,filtration; membranes; ion-exchange membranes; modeling,RWTH,https://publications.rwth-aachen.de/record/816815,10.18154/RWTH-2021-03458,,,,,"This thesis aims to attain a deeper phenomenological understanding of ion transport through charged nanofiltration and ion-exchange membranes by means of conducting numerical simulations. When the bulk charge is overcompensated, the rejection and selectivity can increase significantly due to the strong influence of the overall charge on…"
Daniel J. Bell,2021-01-01,Artificial oscillating membrane systems,membranes,RWTH,https://publications.rwth-aachen.de/record/824265,,,,,,
Burckhard E. L. Ohs,2021-01-01,Process design and optimization for recovery of biohydrogen,hydrogen; electrochemistry,RWTH,https://publications.rwth-aachen.de/record/817133,10.18154/RWTH-2021-03716,https://publications.rwth-aachen.de/record/817133/files/817133.pdf,,,,"Thus, in the second part of the thesis, a process consisting of an electrochemicalH2 separation and temperature swing adsorption for the separation of N2and CO2 is presented. With this thesis at hand, overall process analysis of the biogenic H2 production is possible."
Alexandra K. E. Rommerskirchen,2021-01-01,Continuous flow-electrode capacitive deionization,capacitive deionization; electrochemistry; membranes,RWTH,https://publications.rwth-aachen.de/record/814181,10.18154/RWTH-2021-02093,,https://www.linkedin.com/in/alexandra-rommerskirchen-87083098/,https://orcid.org/0000-0002-5497-9379,,"This thesis discusses the state of the art of FCDI and related technologies and, based on this, presents experimental and theoretical studies, which advance the field of FCDI. The overall focus of this thesis lies on the application of FCDI for the treatment of high salinity solutions."
Michael Theo Alders,2020-11-16,Membrane gas separation at low temperatures and high activity levels,membranes; gas separation,RWTH,https://publications.rwth-aachen.de/record/834212,10.18154/RWTH-2021-09719,https://publications.rwth-aachen.de/record/834212/files/834212.pdf,https://www.linkedin.com/in/michael-alders-973336170/,,,"As an example, the model is used to determine parameters for PDMS as the most ideal membrane material. For hydrocarbons the results correspond to the expected behaviour, but for polar vapors effects are observed which cannot be conclusively clarified."
S. Weik,2020-01-01,Static mixer assisted membrane filtration,membranes; filtration; fouling,RWTH,https://publications.rwth-aachen.de/record/794592,10.18154/RWTH-2020-07761,,,,,"This thesis follows a different approach, aiming at influencing the process conditions and the hydrodynamics in particular, instead of altering the membrane surface. In particular, the newly developed aerating mixer which combines aeration and mixing in one device, showed promising results in fouling mitigation."
Monika T. Wiese,2020-01-01,Synthetic membranes with responsive and enzymatically active properties,membranes,RWTH,https://publications.rwth-aachen.de/record/803875,,,,,,
Laura Keller,2020-01-01,Microtubes made of carbon nanotube hybrid materials for CO$_{2}$ separation,microfluidics; gas separation; hollow fiber membranes; polymers,RWTH,https://publications.rwth-aachen.de/record/789300,10.18154/RWTH-2020-05127,,,,,"In this thesis, hollow fibers made of carbon nanotubes (CNT) replace the polymeric matrix. The formation of a polymeric, gastight layer on the shell side was successful, which enables isothermal operation with these fibers in the future."
Kerstin M. Remmen,2020-01-01,Layer-by-layer modification of membranes for resource recovery,membranes; layer-by-layer; filtration,RWTH,https://publications.rwth-aachen.de/record/782953,10.18154/RWTH-2020-02191,,,,,"In this thesis, novel Layer-by-Layer (LbL) nanofiltration membranes are applied to recover phosphorus from sewage sludge ash leached by acids. An optimization of LbL membranes is performed to achieve superior phosphorus yields and permeabilities compared to conventional membranes, leading to a more environmentally friendly and…"
Jonas Lölsberg,2020-01-01,Rapid prototyping of microfluidic systems using two-photon lithography,microfluidics,RWTH,https://publications.rwth-aachen.de/record/813718,,,https://www.linkedin.com/in/dr-ing-jonas-lölsberg-849b4b117/,https://orcid.org/0000-0003-0824-0976,,"Within the cell-sorting device, whole blood with a clinical relevant hematocrit is sorted based on the joint effects of flow focusing and inertial lift forces resulting in lateral cell migration."
Jan-Bernd Vennekötter,2020-01-01,$CO_{2}$ Reduction in Electrochemical Membrane Reactors,membranes; electrochemistry,RWTH,https://publications.rwth-aachen.de/record/793058,10.18154/RWTH-2020-06598,https://publications.rwth-aachen.de/record/793058/files/793058.pdf,https://www.linkedin.com/in/dr-jan-bernd-vennekötter-34422a122/,,,"Even though the focus of the study is on small scale electrochemical membrane reactors, a clear guideline for industrial scale up is given. Further catalyst and electrode design is necessary to be able to reduce CO2 with high selectivities to different C1 and C2 products."
Florian G. Roghmans,2020-01-01,Ion transport through microgel-modified membrane surfaces,membranes; microgels; capacitive deionization; electrochemistry,RWTH,https://publications.rwth-aachen.de/record/809118,10.18154/RWTH-2020-12377,https://publications.rwth-aachen.de/record/809118/files/809118.pdf,,,,"This thesis aims at the improvement of ion transfer through two different types of membranes via the deposition of microgels on their surface. Electrochemical impedance spectroscopy revealed that the charge of the modifications has a decisive impact on the dielectric response of the system, thereby fingerprinting monovalention…"
Deniz P. Rall,2020-01-01,Data-Driven development of layer-by-layer nanofiltration membranes and processes,filtration; membranes; layer-by-layer; modeling,RWTH,https://publications.rwth-aachen.de/record/804603,10.18154/RWTH-2020-10408,,https://www.linkedin.com/in/dr-deniz-rall/,,,"This thesis offers a novel data-driven methodology using artificial neural networks (ANNs) for the development of layer-by-layer nanofiltration membranes in contrast to established screening pathways. Furthermore, machine learning enables a well-founded physical analysis of the performance spectrum, creating an interface between the…"
Benedikt M. Aumeier,2020-01-01,The hydrothermal solution for decentralized drinking water purification,water treatment; filtration; membranes,RWTH,https://publications.rwth-aachen.de/record/801868,10.18154/RWTH-2020-09122,https://publications.rwth-aachen.de/record/801868/files/801868.pdf,https://www.linkedin.com/in/benedikt-aumeier-352755178/,https://orcid.org/0000-0003-2167-4066,,"The main objective of this thesis was to develop a water treatment process that fulfills the above-mentioned requirements, and to demonstrate its technical feasibility in order to assure self-sustaining operation at household level.The developed process consisted of two steps: water purification and process regeneration."
Axel Böcking,2020-01-01,Membrane transport properties and process design in nanofiltration with organic solvents and aqueous solvent mixtures,membranes; filtration; organic solvent nanofiltration,RWTH,https://publications.rwth-aachen.de/record/788632,10.18154/RWTH-2020-04678,https://publications.rwth-aachen.de/record/788632/files/788632.pdf,,,,"This thesis proves the quality of retention and flow data from the standardized method. Such effects have been demonstrated in experiments, e.g., cononsolvency or preferential solvation."
Tobias Lülf,2019-01-01,Structured hollow fiber membranes for enhanced mass transfer,membranes; hollow fiber membranes,RWTH,https://publications.rwth-aachen.de/record/765489,,,https://www.linkedin.com/in/dr-tobias-luelf-5985b1119/,,,
Therese Krahnstöver,2019-01-01,Assessing and minimizing the leakage of powdered activated carbon from wastewater treatment processes for micropollutant removal,water treatment; filtration,RWTH,https://publications.rwth-aachen.de/record/772900,10.18154/RWTH-2019-10820,,https://www.linkedin.com/in/therese-krahnstöver-ab6ab4183/,,,"In this thesis, the separation of PAC in advanced wastewater treatment processes is studied. The results show that, when operating PAC plants, it is essential to put a focus not only on effective adsorption, but also on adequate solids separation."
Theresa B. M. Rösener,2019-01-01,Temperature modulated membrane transport phenomena,membranes; filtration; fouling; hollow fiber membranes,RWTH,https://publications.rwth-aachen.de/record/774433,10.18154/RWTH-2019-11537,https://publications.rwth-aachen.de/record/774433/files/774433.pdf,,,,This thesis elucidates how direct membrane heating can positively influence membrane transport phenomena and presents novel applications that arise from the direct heat input. The applied electric power enables to control the temperature of the membrane.
Martin Wiese,2019-01-01,Flow-MRI to analyze effectiveness of membrane devices,membranes; MRI,RWTH,https://publications.rwth-aachen.de/record/785894,,,,,,
